PRODUCT_ID,PRODUCT_NAME,PRODUCT_IMAGE,CERT_ID,PRODUCT_CERT_ID,PRODUCT_START_DATE,PRODUCT_END_DATE,COMPANY_ID,G2B_ID,EL_ID
185609,에코칩-블루2,http://data.greenproduct.go.kr/openProductImage.do?prodProd=185609&prod_img_size=250,19,19102,2020-10-12,2023-10-07,3051574148,null,307
188686,HM-RT-HR160,http://data.greenproduct.go.kr/openProductImage.do?prodProd=188686&prod_img_size=250,19,21172,2019-11-29,2021-11-28,3128217453,null,321
172018,두리그린 핸드타올,http://data.greenproduct.go.kr/openProductImage.do?prodProd=172018&prod_img_size=250,19,19979,2021-04-29,2024-04-28,3168204358,null,321
212771,JEJU cocori 베이비 세탁세제,http://data.greenproduct.go.kr/openProductImage.do?prodProd=212771&prod_img_size=250,19,22513,2020-07-27,2022-07-26,4748700274,null,307
282951,맑을청(淸) 친환경 주방세제 3L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=282951&prod_img_size=250,19,16873,2021-04-12,2024-04-04,5048160149,null,303
48875,꽃이피는아침 주방세제 500g 리필,http://data.greenproduct.go.kr/openProductImage.do?prodProd=48875&prod_img_size=250,19,11958,2020-04-11,2022-04-10,5048169136,null,303
157648,자연生 #605 1종애벌세제 3.9kg,http://data.greenproduct.go.kr/openProductImage.do?prodProd=157648&prod_img_size=250,19,19093,2020-10-08,2022-10-07,5048169136,null,303
265242,꽃이피는아침 섬유유연제 10L 리필,http://data.greenproduct.go.kr/openProductImage.do?prodProd=265242&prod_img_size=250,19,23170,2020-11-16,2023-11-15,5048169136,null,306
50332,슈가버블 애플 주방세제 3.4L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=50332&prod_img_size=250,19,12323,2020-07-04,2022-07-03,5068131238,null,303
41333,슈가버블 친환경 주방세제 280mL,http://data.greenproduct.go.kr/openProductImage.do?prodProd=41333&prod_img_size=250,19,15410,2020-04-19,2022-04-18,5068131238,null,303
176588,슈가버블 친환경 주방세제 스위트 자몽 1.2L 리필,http://data.greenproduct.go.kr/openProductImage.do?prodProd=176588&prod_img_size=250,19,18905,2020-08-20,2022-08-19,5068131238,null,303
204348,친환경 주방세제 Rich Blueberry(리치 블루베리) 1.2L 리필,http://data.greenproduct.go.kr/openProductImage.do?prodProd=204348&prod_img_size=250,19,18905,2020-08-20,2022-08-19,5068131238,null,303
232052,슈가베베 유아 섬유유연제(베이비파우더리) 1.5L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=232052&prod_img_size=250,19,22819,2020-09-10,2022-09-09,5068131238,null,306
241993,슈가버블 친환경 세탁세제 내추럴버블 1.5L,http://data.greenproduct.go.kr/openProductImage.do?prodProd=241993&prod_img_size=250,19,12782,2020-10-19,2023-10-14,5068131238,null,307
242048,슈가버블 풀필 세탁세제 드럼용,http://data.greenproduct.go.kr/openProductImage.do?prodProd=242048&prod_img_size=250,19,17465,2019-08-24,2021-08-23,5068131238,null,307
189011,우리약초이야기 샴푸 300g,http://data.greenproduct.go.kr/openProductImage.do?prodProd=189011&prod_img_size=250,19,21202,2019-12-02,2021-12-01,6102452261,null,308
270692,우리약초이야기 핸드워시 350g (리필),http://data.greenproduct.go.kr/openProductImage.do?prodProd=270692&prod_img_size=250,19,24362,2021-05-24,2024-05-23,6102452261,null,309
283242,클로버 핸드타올 2겹,http://data.greenproduct.go.kr/openProductImage.do?prodProd=283242&prod_img_size=250,19,24665,2021-07-06,2024-07-05,6211081774,null,321
274420,새롬 핸드타올,http://data.greenproduct.go.kr/openProductImage.do?prodProd=274420&prod_img_size=250,19,24411,2021-05-31,2024-05-30,8348200127,null,321
